City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Binika,IN,75.56,few clouds,21.0333,83.8,DISASTER ACCOMMODATION
3,Touros,BR,77.09,clear sky,-5.1989,-35.4608,INN NEW HORIZON
5,Namatanai,PG,80.02,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
7,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
9,Los Amates,GT,85.57,overcast clouds,15.2667,-89.1,Las Basas
11,Maragogi,BR,75.49,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
14,Aquiraz,BR,82.49,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
20,San Ignacio,BZ,87.94,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
22,Rikitea,PF,72.9,light rain,-23.1203,-134.9692,People ThankYou
26,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
28,Kapaa,US,83.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Atuona,PF,76.26,light rain,-9.8,-139.0333,Villa Enata
32,Kaduqli,SD,74.77,overcast clouds,11.0167,29.7167,Nussyba
34,Jamestown,US,76.59,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
37,Antalaha,MG,70.21,moderate rain,-14.9003,50.2788,Hotel Vitasoa
39,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
40,Taoudenni,ML,93.4,broken clouds,22.6783,-3.9836,
41,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
42,Phonhong,LA,73.58,overcast clouds,18.5007,102.4166,Manyvong Guest House
46,Sur,OM,81.9,clear sky,22.5667,59.5289,Sur Plaza Hotel
47,Along,IN,72.72,overcast clouds,28.1667,94.7667,Hotel West
49,Tautira,PF,77.04,few clouds,-17.7333,-149.15,Pension Oaoa
53,Port Blair,IN,80.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
54,Pacific Grove,US,75.38,few clouds,36.6177,-121.9166,Lovers Point Inn
56,Mitsamiouli,KM,74.61,scattered clouds,-11.3847,43.2844,Foyer ADM
57,Kapit,MY,71.58,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
60,Inhambane,MZ,70.47,clear sky,-23.865,35.3833,Oceano
62,Avera,US,94.55,clear sky,33.194,-82.5271,
64,Kahului,US,84.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
65,Oron,NG,75.13,overcast clouds,4.8256,8.2343,Aqua Belloni Lodge
67,Barcelos,PT,72.84,clear sky,41.5388,-8.6151,Hotel Do Terço
68,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
69,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
72,La Palma,US,89.19,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
73,Puerto Carreno,CO,93.18,moderate rain,6.189,-67.4859,Casa Hotel Victoria
77,Kilindoni,TZ,75.58,few clouds,-7.9139,39.6668,Bustani B&B
80,Colares,PT,71.76,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
82,Portland,US,80.82,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
83,Gushikawa,JP,78.8,clear sky,26.3544,127.8686,Kirari Guest House
86,Jalu,LY,88.07,clear sky,29.0331,21.5482,صاحبة الفخامة
88,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
89,Tabasco,MX,87.91,broken clouds,18.0,-92.6667,
90,Hilo,US,84.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
91,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
92,Butaritari,KI,79.61,light rain,3.0707,172.7902,Isles Sunset Lodge
96,Salalah,OM,78.31,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
98,San Quintin,MX,75.16,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
104,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
107,Mwene-Ditu,CD,70.72,light rain,-7.0,23.45,African'zuri
108,Tutoia,BR,78.78,few clouds,-2.7619,-42.2744,Pousada Guará's
109,Inirida,CO,74.25,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
113,Baran,IN,76.19,overcast clouds,25.1,76.5167,Hotel shree ji
115,Panalingaan,PH,78.33,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
118,Albany,US,75.72,broken clouds,42.6001,-73.9662,
120,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
121,Hithadhoo,MV,81.36,scattered clouds,-0.6,73.0833,Scoop Guest House
122,Canton,CN,80.55,broken clouds,23.1167,113.25,Shangjiuwan Hotel
124,San Patricio,US,93.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
125,Tanout,NE,90.34,broken clouds,14.9709,8.8879,
126,Kupang,ID,77.2,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
127,Dzaoudzi,YT,71.49,clear sky,-12.7887,45.2699,Le Rocher
128,Cururupu,BR,77.9,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
131,Yangambi,CD,70.41,overcast clouds,0.8102,24.4336,
