City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,62.98,77,0,19.86,clear sky
1,Binika,IN,21.0333,83.8,75.56,93,23,3.04,few clouds
2,Baykit,RU,61.67,96.37,34.41,99,100,4.88,snow
3,Touros,BR,-5.1989,-35.4608,77.09,81,1,11.61,clear sky
4,Airai,TL,-8.9266,125.4092,60.21,85,94,2.59,overcast clouds
5,Namatanai,PG,-3.6667,152.4333,80.02,73,100,1.68,overcast clouds
6,Broken Hill,AU,-31.95,141.4333,53.71,93,98,14.25,overcast clouds
7,Vaini,TO,-21.2,-175.2,77.16,88,75,12.66,broken clouds
8,Kununurra,AU,-15.7667,128.7333,75.18,78,6,1.14,clear sky
9,Los Amates,GT,15.2667,-89.1,85.57,68,100,2.62,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,47.86,57,40,11.5,scattered clouds
11,Maragogi,BR,-9.0122,-35.2225,75.49,80,1,7.81,clear sky
12,Charters Towers,AU,-20.1,146.2667,68.29,89,32,4.97,scattered clouds
13,Bluff,NZ,-46.6,168.3333,48.79,81,18,6.08,few clouds
14,Aquiraz,BR,-3.9014,-38.3911,82.49,78,0,12.46,clear sky
15,Pisco,PE,-13.7,-76.2167,67.01,68,0,17.27,clear sky
16,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,40,11.3,scattered clouds
17,Provideniya,RU,64.3833,-173.3,42.91,100,100,18.01,light rain
18,Mount Gambier,AU,-37.8333,140.7667,51.71,93,100,5.75,overcast clouds
19,Hobart,AU,-42.8794,147.3294,52.05,91,0,0.0,clear sky
20,San Ignacio,BZ,17.1561,-89.0714,87.94,62,40,6.91,scattered clouds
21,Saint-Ambroise,CA,48.5501,-71.3324,64.94,63,81,5.17,broken clouds
22,Rikitea,PF,-23.1203,-134.9692,72.9,75,4,14.63,light rain
23,Tessalit,ML,20.1986,1.0114,96.17,18,87,0.72,overcast clouds
24,Darhan,MN,49.4867,105.9228,35.11,69,5,1.14,clear sky
25,Castro,BR,-24.7911,-50.0119,58.17,99,100,4.47,overcast clouds
26,Georgetown,MY,5.4112,100.3354,77.9,93,40,5.75,scattered clouds
27,Thompson,CA,55.7435,-97.8558,48.36,57,75,8.05,broken clouds
28,Kapaa,US,22.0752,-159.319,83.12,72,81,8.01,broken clouds
