City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-09-18 22:47:36,-33.9258,18.4232,56.08,74,20,9.22
1,Hermanus,ZA,2022-09-18 22:50:37,-34.4187,19.2345,48.79,78,68,10.0
2,Batticaloa,LK,2022-09-18 22:50:38,7.7102,81.6924,79.23,78,100,4.52
3,Port Alfred,ZA,2022-09-18 22:50:38,-33.5906,26.891,56.17,95,100,5.01
4,Ihosy,MG,2022-09-18 22:50:38,-22.4,46.1167,60.1,87,66,6.87
5,Dikson,RU,2022-09-18 22:45:41,73.5069,80.5464,30.79,78,12,16.33
6,Arraial Do Cabo,BR,2022-09-18 22:50:39,-22.9661,-42.0278,66.06,72,20,3.44
7,Mayahi,NE,2022-09-18 22:50:39,13.9553,7.6712,85.17,52,63,3.0
8,Igrim,RU,2022-09-18 22:50:40,63.1906,64.4162,49.24,78,4,13.0
9,Puerto Ayora,EC,2022-09-18 22:50:40,-0.7393,-90.3518,73.36,85,77,4.0
10,Faya,SA,2022-09-18 22:50:42,18.3851,42.4509,69.91,58,76,2.64
11,La Ronge,CA,2022-09-18 22:50:43,55.1001,-105.2842,62.85,45,40,11.5
12,Bredasdorp,ZA,2022-09-18 22:50:44,-34.5322,20.0403,49.05,86,59,2.01
13,Pochutla,MX,2022-09-18 22:50:44,15.7432,-96.4661,80.13,82,50,7.52
14,Columbus,US,2022-09-18 22:47:36,39.9612,-82.9988,81.19,57,75,10.36
15,Santa Rosa,PH,2022-09-18 22:49:46,14.3122,121.1114,78.78,94,100,4.59
16,Georgetown,MY,2022-09-18 22:50:45,5.4112,100.3354,78.89,92,20,2.3
17,Kardla,EE,2022-09-18 22:50:45,58.9978,22.7492,52.05,81,61,9.37
18,Daru,PG,2022-09-18 22:50:45,-9.0763,143.2092,81.52,84,92,11.07
19,Punta Arenas,CL,2022-09-18 22:50:46,-53.15,-70.9167,42.91,75,0,6.91
20,Warri,NG,2022-09-18 22:50:46,5.5167,5.75,75.85,88,100,3.94
21,Rikitea,PF,2022-09-18 22:50:46,-23.1203,-134.9692,72.12,74,41,17.6
22,Port Lincoln,AU,2022-09-18 22:50:47,-34.7333,135.8667,53.53,69,0,10.69
23,Porto Santo,PT,2022-09-18 22:50:47,33.072,-16.3415,71.98,78,40,10.36
24,Busselton,AU,2022-09-18 22:50:47,-33.65,115.3333,51.24,85,86,5.26
25,Fonte Boa,BR,2022-09-18 22:50:48,-2.4959,-66.2662,81.41,70,100,3.2
26,New Norfolk,AU,2022-09-18 22:50:49,-42.7826,147.0587,53.1,69,95,3.0
27,Pevek,RU,2022-09-18 22:50:50,69.7008,170.3133,32.65,97,100,17.65
28,Develi,TR,2022-09-18 22:50:50,38.3906,35.4922,61.95,73,0,1.39
29,Berlevag,NO,2022-09-18 22:50:50,70.8578,29.0864,44.6,100,100,16.11
30,Buin,CL,2022-09-18 22:50:51,-33.7333,-70.75,54.43,71,96,3.62
31,Quatre Cocos,MU,2022-09-18 22:50:52,-20.2078,57.7625,71.71,79,29,14.97
32,Kapaa,US,2022-09-18 22:50:52,22.0752,-159.319,85.1,74,40,11.5
33,Jamestown,US,2022-09-18 22:50:53,42.097,-79.2353,74.95,57,100,4.61
34,Upernavik,GL,2022-09-18 22:50:53,72.7868,-56.1549,37.17,72,100,2.73
35,Benghazi,LY,2022-09-18 22:50:53,32.1167,20.0667,79.02,80,0,7.65
36,Katsuura,JP,2022-09-18 22:50:54,35.1333,140.3,80.6,89,65,18.01
37,Cornwall,CA,2022-09-18 22:50:55,45.0181,-74.7281,70.84,94,100,5.75
38,Victoria,HK,2022-09-18 22:47:23,22.2855,114.1577,82.33,83,58,11.99
39,Mataura,NZ,2022-09-18 22:50:57,-46.1927,168.8643,52.09,69,100,2.84
40,Jinka,ET,2022-09-18 22:50:57,5.65,36.65,69.84,53,93,4.21
41,Lorengau,PG,2022-09-18 22:50:58,-2.0226,147.2712,84.33,68,34,4.68
42,Ust-Kuyga,RU,2022-09-18 22:50:59,70.0167,135.6,33.48,94,100,7.25
43,Hobart,AU,2022-09-18 22:51:01,-42.8794,147.3294,53.46,65,40,9.22
44,Chuy,UY,2022-09-18 22:52:02,-33.6971,-53.4616,58.05,80,100,9.98
45,Qaanaaq,GL,2022-09-18 22:52:02,77.484,-69.3632,22.24,54,0,8.61
46,Talnakh,RU,2022-09-18 22:52:04,69.4865,88.3972,43.21,100,100,2.8
47,Gornyak,RU,2022-09-18 22:52:05,50.9942,81.4661,44.24,62,0,4.92
48,Sorong,ID,2022-09-18 22:52:05,-0.8833,131.25,78.84,81,100,4.52
49,Cheremshanka,RU,2022-09-18 22:52:06,56.1192,60.268,55.04,96,100,3.94
50,Ushuaia,AR,2022-09-18 22:52:06,-54.8,-68.3,42.46,65,0,9.22
51,Uddevalla,SE,2022-09-18 22:52:06,58.3478,11.9424,55.76,84,33,3.0
52,Hasaki,JP,2022-09-18 22:52:07,35.7333,140.8333,81.28,88,57,19.69
53,Albany,US,2022-09-18 22:49:08,42.6001,-73.9662,72.59,86,96,1.99
54,Airai,TL,2022-09-18 22:52:07,-8.9266,125.4092,67.62,36,80,2.37
55,Saint Anthony,US,2022-09-18 22:52:08,45.0205,-93.218,70.93,67,0,3.44
56,Kimparana,ML,2022-09-18 22:52:09,12.8347,-4.9244,77.18,79,69,7.18
57,Longyearbyen,SJ,2022-09-18 22:52:10,78.2186,15.6401,30.04,74,75,6.91
58,Yerbogachen,RU,2022-09-18 22:52:10,61.2767,108.0108,42.08,96,100,8.81
59,Xining,CN,2022-09-18 22:52:11,36.6167,101.7667,55.67,84,100,1.43
60,Beringovskiy,RU,2022-09-18 22:52:12,63.05,179.3167,40.19,77,99,11.65
61,Bahia De Caraquez,EC,2022-09-18 22:52:12,-0.6,-80.4167,75.38,82,75,11.63
62,Saint-Philippe,RE,2022-09-18 22:52:13,-21.3585,55.7679,71.19,83,49,12.53
63,Hilo,US,2022-09-18 22:52:14,19.7297,-155.09,86.29,78,100,6.91
64,Homer,US,2022-09-18 22:52:15,59.6425,-151.5483,56.77,76,100,3.44
65,Westport,US,2022-09-18 22:48:37,41.1415,-73.3579,80.74,68,0,13.8
66,Pangnirtung,CA,2022-09-18 22:52:17,66.1451,-65.7125,42.35,65,12,4.59
67,Yellowknife,CA,2022-09-18 22:51:25,62.456,-114.3525,52.32,76,75,8.01
68,Saint George,US,2022-09-18 22:48:43,37.1041,-113.5841,93.25,16,0,14.97
69,Banjar,ID,2022-09-18 22:52:18,-8.19,114.9675,74.61,77,80,5.57
70,Butaritari,KI,2022-09-18 22:52:19,3.0707,172.7902,80.96,79,7,15.3
71,Kudahuvadhoo,MV,2022-09-18 22:52:20,2.6708,72.8944,81.59,69,98,6.71
72,Lodwar,KE,2022-09-18 22:52:21,3.1191,35.5973,81.84,42,67,15.86
73,Severo-Kurilsk,RU,2022-09-18 22:52:24,50.6789,156.125,52.39,93,90,17.72
74,Mahebourg,MU,2022-09-18 22:52:25,-20.4081,57.7,71.89,78,40,11.5
75,Sao Paulo De Olivenca,BR,2022-09-18 22:52:25,-3.3783,-68.8725,83.48,62,100,1.9
76,Kavieng,PG,2022-09-18 22:52:25,-2.5744,150.7967,82.81,75,77,12.39
